brand,certification
Patagonia,B-Corp
Allbirds,Carbon Neutral Certified
The Body Shop,Leaping Bunny Certified
Seventh Generation,USDA BioPreferred
Eileen Fisher,B-Corp
Ben & Jerry's,B-Corp
TOMS,B-Corp
Bombas,B-Corp
Warby Parker,B-Corp
Athleta,B-Corp
Dr. Bronner's,B-Corp
Etsy,B-Corp
Danone,B-Corp
Natura,B-Corp
Unilever,Sustainable Living Plan
IKEA,Climate Positive Strategy
Nike,Move to Zero Initiative
Adidas,Parley Ocean Plastic Initiative
H&M,Conscious Collection
Puma,Carbon Neutral Goals
Levi Strauss & Co.,Water<Less Initiative
Apple,Carbon Neutral (Corporate)
Google,Carbon Neutral (Corporate)
Microsoft,Carbon Negative Goal
Amazon,Climate Pledge
Tesla,Zero Emission Vehicles
Beyond Meat,Plant-Based Sustainability
Oatly,Carbon Labeling
Impossible Foods,Plant-Based Sustainability
Lush,Ethical Sourcing
Aveda,Leaping Bunny Certified
Kiehl's,Sustainable Packaging Initiative
Forest Essentials,Ayurvedic Natural Products
Organic India,GOTS Certified
Fabindia,Sustainable Sourcing
Khadi Natural,Ayurvedic/Natural
Biotique,Herbal/Natural
Mamaearth,Plastic Positive Certified
Plum Goodness,100% Vegan & Cruelty-Free
WOW Skin Science,Plant-Based Ingredients
Soulflower,Handmade & Natural
Bare Necessities,Zero Waste Certified
Beco,Compostable Products
Chumbak,Sustainable Lifestyle Initiative
Zara,Join Life Initiative
Decathlon,Eco-Design Products
Nestlé,Sustainability Commitments
PepsiCo,Water Stewardship
Coca-Cola,Recycling Initiatives
Starbucks,Ethical Coffee Sourcing
McDonald's,Sustainable Packaging
